#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA    ,433992    ,h3992  ,  0,  5,18.00, 0.15,  0.88,  0.02, 0.14, 0.02, 1.40, 0.00, 2.52, 0.10, 0.38,  5,  5
NEA    ,434096    ,h4096  ,  0,  6,18.00, 0.15,  0.53,  0.02, 0.43, 0.08, 1.40, 0.00, 2.32, 0.10, 0.82,  4,  6
NEA    ,434633    ,h4633  ,  0, 19,20.90, 0.15,  0.31,  0.12, 0.08, 0.09, 1.40, 0.45, 1.60, 0.10, 0.31,  0,  6
NEA    ,434633    ,h4633  ,  0, 19,20.90, 0.15,  0.44,  0.14, 0.04, 0.02, 1.40, 0.37, 1.60, 0.10, 0.37,  0, 13
NEA    ,436671    ,h6671  ,  0,  7,18.00, 0.15,  2.16,  0.02, 0.02, 0.01, 1.40, 0.00, 4.24, 0.10, 0.44,  7,  7
NEA    ,437879    ,h7879  ,  0, 13,17.70, 0.15,  2.24,  0.95, 0.03, 0.06, 1.40, 0.45, 1.60, 0.10, 0.87,  0, 13
NEA    ,437994    ,h7994  ,  0, 11,17.30, 0.15,  0.80,  0.21, 0.33, 0.16, 1.40, 0.38, 1.60, 0.10, 0.87,  0, 11
NEA    ,438990    ,h8990  ,  0,  5,18.30, 0.15,  0.82,  0.37, 0.13, 0.16, 1.40, 0.53, 1.60, 0.10, 0.48,  0,  5
NEA    ,439889    ,h9889  ,  0,  4,20.10, 0.15,  0.59,  0.18, 0.05, 0.04, 1.40, 0.38, 1.60, 0.10, 0.31,  0,  4
NEA    ,442605    ,i2605  ,  0,  5,19.10, 0.15,  0.44,  0.11, 0.21, 0.17, 1.40, 0.37, 1.60, 0.10, 0.50,  0,  5
NEA    ,442742    ,i2742  ,  0, 79,17.60, 0.15,  2.00,  0.01, 0.04, 0.01, 1.40, 0.00, 2.83, 0.10, 0.92, 71, 78
NEA    ,443806    ,i3806  ,  0, 12,22.00, 0.15,  0.29,  0.12, 0.03, 0.04, 1.40, 0.52, 1.60, 0.10, 0.24,  0, 12
NEA    ,443880    ,i3880  ,  0,  6,19.40, 0.15,  0.25,  0.04, 0.50, 0.17, 1.80, 0.55, 1.60, 0.10, 0.65,  0,  6
NEA    ,443923    ,i3923  ,  0, 11,17.40, 0.15,  2.15,  1.01, 0.04, 0.07, 1.00, 0.58, 1.60, 0.10, 0.52,  0, 11
NEA    ,445025    ,i5025  ,  0,  5,17.50, 0.15,  2.10,  0.02, 0.04, 0.01, 1.40, 0.00, 0.70, 0.10, 0.09,  5,  5
NEA    ,445305    ,i5305  ,  0,  4,19.90, 0.15,  0.80,  0.31, 0.03, 0.05, 1.40, 0.45, 1.60, 0.10, 0.20,  0,  4
NEA    ,450159    ,j0159  ,  0,  5,18.90, 0.15,  0.73,  0.23, 0.09, 0.10, 1.40, 0.40, 1.60, 0.10, 0.62,  0,  5
NEA    ,453687    ,j3687  ,  0, 13,19.30, 0.15,  1.06,  0.48, 0.03, 0.03, 1.40, 0.47, 1.60, 0.10, 0.25,  0, 13
NEA    ,453707    ,j3707  ,  0,  4,18.60, 0.15,  0.50,  0.14, 0.26, 0.12, 1.40, 0.39, 1.60, 0.10, 0.40,  0,  4
NEA    ,454078    ,j4078  ,  0, 15,17.50, 0.15,  2.96,  1.20, 0.02, 0.04, 1.40, 0.44, 1.60, 0.10, 0.23,  0, 15
NEA    ,454100    ,j4100  ,  0,  6,20.10, 0.15,  0.55,  0.01, 0.05, 0.01, 1.40, 0.00, 1.70, 0.10, 0.26,  6,  6
NEA    ,2002 GP186,K02GI6P,  0,  5,20.30, 0.15,  0.17,  0.05, 0.44, 0.27, 1.40, 0.48, 1.60, 0.10, 0.29,  0,  5
