#Ast,Name,MPC,1st,HMag,G
NEA ,     143678,E3678       ,  0,16.3 ,0.15
NEA ,     143992,E3992       ,  0,16.0 ,0.15
NEA ,     144332,E4332       ,  0,16.5 ,0.15
NEA ,     144411,E4411       ,  0,16.6 ,0.15
NEA ,     144898,E4898       ,  0,18.8 ,0.15
NEA ,     144900,E4900       ,  0,18.3 ,0.15
NEA ,     144901,E4901       ,  0,17.4 ,0.15
NEA ,     144922,E4922       ,  0,17.3 ,0.15
NEA ,     152560,F2560       ,  0,19.1 ,0.15
NEA ,     152561,F2561       ,  0,19.0 ,0.15
NEA ,     152563,F2563       ,  0,19.8 ,0.15
NEA ,     152575,F2575       ,  0,17.0 ,0.15
NEA ,     152637,F2637       ,  0,18.0 ,0.15
NEA ,     152680,F2680       ,  0,19.4 ,0.15
NEA ,     152685,F2685       ,  0,19.2 ,0.15
NEA ,     152756,F2756       ,  0,18.8 ,0.15
NEA ,     152770,F2770       ,  0,18.4 ,0.15
NEA ,     152787,F2787       ,  0,18.6 ,0.15
NEA ,     152828,F2828       ,  0,21.2 ,0.15
NEA ,     152895,F2895       ,  0,18.1 ,0.15
NEA ,     152941,F2941       ,  0,17.6 ,0.15
NEA ,     152942,F2942       ,  0,16.7 ,0.15
NEA ,     152952,F2952       ,  0,17.6 ,0.15
NEA ,     153195,F3195       ,  0,17.5 ,0.15
NEA ,     153219,F3219       ,  0,18.4 ,0.15
NEA ,     153243,F3243       ,  0,17.5 ,0.15
NEA ,     153249,F3249       ,  0,15.1 ,0.15
NEA ,     153267,F3267       ,  0,17.9 ,0.15
NEA ,     153306,F3306       ,  0,16.7 ,0.15
NEA ,     153315,F3315       ,  0,19.2 ,0.15
NEA ,     153591,F3591       ,  0,16.9 ,0.15
NEA ,     153792,F3792       ,  0,18.2 ,0.15
NEA ,     153953,F3953       ,  0,16.8 ,0.15
NEA ,     153957,F3957       ,  0,17.9 ,0.15
NEA ,     153958,F3958       ,  0,18.3 ,0.15
NEA ,     154019,F4019       ,  0,22.0 ,0.15
NEA ,     154020,F4020       ,  0,19.1 ,0.15
NEA ,     154029,F4029       ,  0,16.5 ,0.15
NEA ,     154035,F4035       ,  0,17.3 ,0.15
NEA ,     154144,F4144       ,  0,17.4 ,0.15
NEA ,     154229,F4229       ,  0,16.6 ,0.15
NEA ,     154244,F4244       ,  0,17.5 ,0.15
NEA ,     154268,F4268       ,  0,18.0 ,0.15
NEA ,     154275,F4275       ,  0,20.1 ,0.15
NEA ,     154276,F4276       ,  0,17.6 ,0.15
NEA ,     154278,F4278       ,  0,16.5 ,0.15
NEA ,     154300,F4300       ,  0,19.3 ,0.15
NEA ,     154330,F4330       ,  0,18.1 ,0.15
NEA ,     154347,F4347       ,  0,16.1 ,0.15
NEA ,     154589,F4589       ,  0,16.5 ,0.15
NEA ,     154652,F4652       ,  0,18.8 ,0.15
