#Ast,Name,MPC,1st,HMag,G
NEA,444628,i4628,0,19.4,0.15
NEA,446791,i6791,0,18.3,0.15
NEA,446804,i6804,0,19.5,0.15
NEA,446938,i6938,0,19.9,0.15
NEA,447221,i7221,0,20.7,0.15
NEA,447755,i7755,0,19.7,0.15
NEA,448818,i8818,0,18.0,0.15
NEA,449074,i9074,0,19.2,0.15
NEA,449074,i9074,0,19.2,0.15
NEA,450143,j0143,0,19.6,0.15
NEA,450293,j0293,0,18.8,0.15
NEA,451003,j1003,0,19.5,0.15
NEA,451297,j1297,0,19.2,0.15
NEA,451370,j1370,0,21.5,0.15
NEA,451370,j1370,0,21.5,0.15
NEA,452307,j2307,0,18.3,0.15
NEA,452376,j2376,0,20.0,0.15
NEA,452807,j2807,0,21.4,0.15
NEA,453309,j3309,0,19.4,0.15
NEA,453707,j3707,0,18.6,0.15
NEA,453778,j3778,0,18.4,0.15
NEA,454266,j4266,0,19.0,0.15
NEA,455148,j5148,0,21.1,0.15
NEA,455199,j5199,0,19.8,0.15
NEA,455407,j5407,0,19.8,0.15
NEA,455594,j5594,0,18.0,0.15
NEA,456301,j6301,0,18.7,0.15
NEA,456863,j6863,0,19.5,0.15
NEA,458062,j8062,0,18.9,0.15
NEA,458368,j8368,0,18.4,0.15
NEA,458452,j8452,0,20.0,0.15
NEA,459200,j9200,0,21.0,0.15
NEA,459683,j9683,0,19.7,0.15
NEA,461501,k1501,0,18.6,0.15
NEA,462559,k2559,0,20.3,0.15
NEA,463664,k3664,0,18.6,0.15
NEA,464639,k4639,0,19.1,0.15
NEA,465616,k5616,0,18.8,0.15
NEA,465617,k5617,0,21.4,0.15
NEA,465633,k5633,0,20.3,0.15
NEA,465853,k5853,0,19.5,0.15
NEA,466053,k6053,0,19.1,0.15
NEA,467317,k7317,0,19.8,0.15
NEA,467351,k7351,0,20.5,0.15
NEA,467475,k7475,0,18.8,0.15
NEA,467609,k7609,0,19.4,0.15
NEA,467917,k7917,0,20.0,0.15
NEA,468004,k8004,0,19.3,0.15
NEA,468446,k8446,0,19.7,0.15
NEA,468541,k8541,0,20.2,0.15
NEA,468684,k8684,0,19.6,0.15
NEA,469634,k9634,0,19.2,0.15
NEA,470310,l0310,0,19.4,0.15
NEA,470510,l0510,0,19.2,0.15
NEA,470909,l0909,0,18.2,0.15
NEA,470951,l0951,0,18.0,0.15
NEA,470975,l0975,0,21.4,0.15
NEA,471034,l1034,0,19.2,0.15
NEA,471108,l1108,0,19.4,0.15
NEA,471323,l1323,0,19.4,0.15
NEA,471926,l1926,0,18.6,0.15
NEA,1986 NA,J86N00A,0,19.8,0.15
NEA,1988 NE,J88N00E,0,19.1,0.15
NEA,1995 CR,J95C00R,0,18.1,0.15
NEA,1995 LG,J95L00G,0,18.7,0.15
NEA,1996 AE2,J96A02E,0,20.3,0.15
NEA,1996 RG3,J96R03G,0,18.4,0.15
NEA,1996 TY11,J96T11Y,0,19.3,0.15
NEA,1996 XB27,J96X27B,0,21.7,0.15
NEA,1996 XX14,J96X14X,0,19.2,0.15
NEA,1997 UH9,J97U09H,0,18.7,0.15
NEA,1997 WQ23,J97W23Q,0,20.7,0.15
NEA,1998 HH49,J98H49H,0,21.3,0.15
NEA,1998 KH9,J98K09H,0,18.5,0.15
NEA,1998 LD,J98L00D,0,19.9,0.15
NEA,1998 MR24,J98M24R,0,19.2,0.15
NEA,1998 SE36,J98S36E,0,19.6,0.15
NEA,1998 ST27,J98S27T,0,19.5,0.15
NEA,1998 VE31,J98V31E,0,20.9,0.15
NEA,1998 VF32,J98V32F,0,21.1,0.15
NEA,1998 WP7,J98W07P,0,19.8,0.15
NEA,1998 WT7,J98W07T,0,19.0,0.15
NEA,1998 YF10,J98Y10F,0,20.6,0.15
NEA,1999 AJ39,J99A39J,0,21.4,0.15
NEA,1999 FJ21,J99F21J,0,20.3,0.15
NEA,1999 FP19,J99F19P,0,20.1,0.15
NEA,1999 HD1,J99H01D,0,20.3,0.15
NEA,1999 HY1,J99H01Y,0,18.1,0.15
NEA,1999 LD30,J99L30D,0,20.3,0.15
NEA,1999 LP28,J99L28P,0,20.1,0.15
NEA,1999 LS7,J99L07S,0,20.8,0.15
NEA,1999 OQ3,J99O03Q,0,20.1,0.15
NEA,1999 RH33,J99R33H,0,19.0,0.15
NEA,1999 RM45,J99R45M,0,19.4,0.15
NEA,1999 SG10,J99S10G,0,20.5,0.15
NEA,1999 SH10,J99S10H,0,22.6,0.15
NEA,1999 SH10,J99S10H,0,22.6,0.15
NEA,1999 XX262,J99XQ2X,0,18.1,0.15
NEA,1999 YG3,J99Y03G,0,19.1,0.15
NEA,2000 AD205,K00AK5D,0,18.6,0.15
NEA,2000 BH19,K00B19H,0,19.5,0.15
NEA,2000 CE59,K00C59E,0,20.5,0.15
NEA,2000 CH59,K00C59H,0,19.9,0.15
NEA,2000 CM33,K00C33M,0,20.8,0.15
NEA,2000 CO101,K00CA1O,0,19.1,0.15
NEA,2000 DV110,K00DB0V,0,19.6,0.15
NEA,2000 EF104,K00EA4F,0,18.9,0.15
NEA,2000 EK26,K00E26K,0,18.2,0.15
NEA,2000 EL26,K00E26L,0,18.6,0.15
NEA,2000 GV147,K00GE7V,0,19.3,0.15
NEA,2000 HD74,K00H74D,0,18.0,0.15
NEA,2000 KL33,K00K33L,0,19.7,0.15
NEA,2000 RH60,K00R60H,0,20.0,0.15
NEA,2000 RN12,K00R12N,0,20.0,0.15
NEA,2000 RN77,K00R77N,0,19.5,0.15
NEA,2000 RS11,K00R11S,0,19.1,0.15
NEA,2000 SR43,K00S43R,0,19.4,0.15
NEA,2000 UW13,K00U13W,0,20.6,0.15
NEA,2000 XK44,K00X44K,0,18.1,0.15
NEA,2000 YF29,K00Y29F,0,20.3,0.15
NEA,2000 YT134,K00YD4T,0,18.7,0.15
NEA,2001 AA50,K01A50A,0,18.7,0.15
NEA,2001 BF10,K01B10F,0,22.6,0.15
NEA,2001 BP61,K01B61P,0,20.2,0.15
NEA,2001 BY15,K01B15Y,0,19.1,0.15
NEA,2001 CK42,K01C42K,0,20.0,0.15
NEA,2001 CQ36,K01C36Q,0,22.5,0.15
NEA,2001 DC77,K01D77C,0,19.5,0.15
NEA,2001 DF47,K01D47F,0,20.2,0.15
NEA,2001 FZ57,K01F57Z,0,18.9,0.15
NEA,2001 GM2,K01G02M,0,19.9,0.15
NEA,2001 GQ2,K01G02Q,0,20.1,0.15
NEA,2001 HZ7,K01H07Z,0,19.8,0.15
NEA,2001 JW1,K01J01W,0,20.2,0.15
NEA,2001 OA14,K01O14A,0,18.4,0.15
NEA,2001 PT9,K01P09T,0,20.9,0.15
NEA,2001 QB34,K01Q34B,0,19.5,0.15
NEA,2001 QC34,K01Q34C,0,20.1,0.15
NEA,2001 QC96,K01Q96C,0,20.7,0.15
NEA,2001 QD96,K01Q96D,0,18.2,0.15
NEA,2001 QH142,K01QE2H,0,18.4,0.15
NEA,2001 QH96,K01Q96H,0,18.3,0.15
NEA,2001 QL153,K01QF3L,0,19.0,0.15
NEA,2001 QM142,K01QE2M,0,22.6,0.15
NEA,2001 QO142,K01QE2O,0,19.3,0.15
NEA,2001 SG286,K01SS6G,0,20.9,0.15
NEA,2001 SJ262,K01SQ2J,0,19.9,0.15
NEA,2001 SY269,K01SQ9Y,0,21.5,0.15
NEA,2001 TC45,K01T45C,0,19.2,0.15
